"cta"	"00000"	"zapoteca"	"Chatino"	"[variant language]"	"Chatino de Tataltepec"
"ctp"	"04818"	"zapoteca"	"Chatino"	"[variant language]"	"Chatino de Alta Oeste"
"ctp"	"03969"	"zapoteca"	"Chatino"	"[variant language]"	"Chatino de la zona alta occidental"
"ctz"	"00000"	"zapoteca"	"Chatino"	"[variant language]"	"Chatino de San Marcos Zacatepec"
"cya"	"03920"	"zapoteca"	"Chatino"	"[variant language]"	"Chatino de Nopala"
"cya"	"00000"	"zapoteca"	"Chatino"	"[variant language]"	"Chatino de Nopala (Tiltepec)"
"czn"	"00000"	"zapoteca"	"Chatino"	"[variant language]"	"Chatino de Zenzontepec"
"cac"	"02095"	"maya"	"Chuj de Ixtatán"	"[variant language]"	"Chuj de Ixtatán"
"cob"	"00000"	"maya"	"Chicomucelteco"	"[variant language]"	"Chicomuceltec"
"coc"	"00000"	"yumana"	"Cocopá"	"[variant language]"	"Cocopa"
"coj"	"00000"	"pimana"	"Cochimia"	"[variant language]"	"Cochimí"
"cok"	"00000"	"corachol"	"Cora"	"[variant language]"	"Cora de Sta.Teresa"
"crn"	"4921"	"corachol"	"Cora"	"[variant language]"	"Cora de El Nayar y Mesa Del Nayar"
"crn"	"20089"	"corachol"	"Cora"	"[variant language]"	"Cora de Presidio de Los Reyes"
"crn"	"03287"	"corachol"	"Cora"	"[variant language]"	"Cora nayar"
"coz"	"00000"	"popoloca"	"Chochoteco"	"[variant language]"	"Chocholteco"
"ctu"	"02439"	"maya"	"Ch’ol"	"[variant language]"	"Chol Sabanilla"
"ctu"	"00000"	"maya"	"Ch’ol"	"[variant language]"	"Chol Yajalon"
"ctu"	"02104"	"maya"	"Ch’ol"	"[variant language]"	"Chol de Tila"
"ctu"	"00014"	"maya"	"Ch’ol"	"[variant language]"	"Chol de Tumbalá"
"cut"	"00000"	"mixteca"	"Cuicateco"	"[variant language]"	"Cuicateco de Teutila"
"cux"	"19380"	"mixteca"	"Cuicateco"	"[variant language]"	"Cuicateco de Papalo"
"cux"	"02894"	"mixteca"	"Cuicateco"	"[variant language]"	"Cuicateco de Tepeuxila"
"dih"	"00000"	"yumana"	"Kumiái"	"[variant language]"	"Kumiai"
"hch"	"00000"	"corachol"	"Huichol"	"[variant language]"	"Huichol"
"hue"	"00000"	"huave"	"Huave"	"[variant language]"	"Huave de San Francisco del Mar"
"huv"	"00000"	"huave"	"Huave"	"[variant language]"	"Huave de San Mateo del Mar"
"hve"	"00000"	"huave"	"Huave"	"[variant language]"	"Huave de San Dionisio del Mar"
"hvv"	"00000"	"huave"	"Huave"	"[variant language]"	"Huave de Sta. María del Mar"
"hus"	"04381"	"maya"	"Huasteco"	"[variant language]"	"Huasteco de San Luis Potosí"
"hus"	"4681"	"maya"	"Huasteco"	"[variant language]"	"Huasteco de Veracruz"
"hus"	"00000"	"maya"	"Huasteco"	"[variant language]"	"Huasteco del Sureste"
"jac"	"11063"	"maya"	"Jacalteco"	"[variant language]"	"Jacalteco del Oeste"
"jmx"	"00000"	"mixteca"	"Mixteco"	"[variant language]"	"Mixteco de Coicoyán"
"mab"	"00000"	"mixteca"	"Mixteco"	"[variant language]"	"Mixteco de Yutunduchi"
"mbz"	"00000"	"mixteca"	"Mixteco"	"[variant language]"	"Mixteco de Amoltepec"
"mce"	"00000"	"mixteca"	"Mixteco"	"[variant language]"	"Mixteco del Este de Putla"
"mdv"	"00000"	"mixteca"	"Mixteco"	"[variant language]"	"Mixteco de Santa Lucía Monteverde"
"meh"	"00000"	"mixteca"	"Mixteco"	"[variant language]"	"Mixteco del suroeste de Tlaxiaco (Nuyoo)"
"mib"	"00000"	"mixteca"	"Mixteco"	"[variant language]"	"Mixteco de San Esteban Atatláhuca"
"mie"	"06387"	"mixteca"	"Mixteco"	"[variant language]"	"Mixteco de Cuquila"
"mie"	"02897"	"mixteca"	"Mixteco"	"[variant language]"	"Mixteco de Sto. Tomás Ocotepec"
"mig"	"00000"	"mixteca"	"Mixteco"	"[variant language]"	"Mixteco de San Miguel el Grande"
"mig"	"03130"	"mixteca"	"Mixteco"	"[variant language]"	"Mixteco de San Pedro Molinos"
"mih"	"00000"	"mixteca"	"Mixteco"	"[variant language]"	"Mixteco de Chayuco"
"mii"	"04064"	"mixteca"	"Mixteco"	"[variant language]"	"Mixteco Central de Puebla"
"mil"	"02731"	"mixteca"	"Mixteco"	"[variant language]"	"Mixteco de Estetla"
"mil"	"02872"	"mixteca"	"Mixteco"	"[variant language]"	"Mixteco de Peñoles"
"mim"	"04382"	"mixteca"	"Mixteco"	"[variant language]"	"Mixteco de Alacatlatzala"
"mim"	"06431"	"mixteca"	"Mixteco"	"[variant language]"	"Mixteco de Atlamajalcingo"
"mim"	"06200"	"mixteca"	"Mixteco"	"[variant language]"	"Mixteco de Cahuatache"
"mim"	"06434"	"mixteca"	"Mixteco"	"[variant language]"	"Mixteco de Mixtecapa"
"mim"	"06043"	"mixteca"	"Mixteco"	"[variant language]"	"Mixteco de Potoichan"
"mim"	"21224"	"mixteca"	"Mixteco"	"[variant language]"	"Mixteco de Xonacatlan"
"mio"	"00000"	"mixteca"	"Mixteco"	"[variant language]"	"Mixteco de Pinotepa Nacional"
"mip"	"03153"	"mixteca"	"Mixteco"	"[variant language]"	"Mixteco de Apasco"
"mip"	"02735"	"mixteca"	"Mixteco"	"[variant language]"	"Mixteco de San Miguel Huautla"
"mit"	"02767"	"mixteca"	"Mixteco"	"[variant language]"	"Mixteco de Tonahuixtla"
"mit"	"02762"	"mixteca"	"Mixteco"	"[variant language]"	"Mixteco del sur de Puebla"
"miu"	"00000"	"mixteca"	"Mixteco"	"[variant language]"	"Mixteco de Cacaloxtepec"
"mix"	"03385"	"mixteca"	"Mixteco"	"[variant language]"	"Mixteco de San Juan Mixtepec"
"mix"	"04052"	"mixteca"	"Mixteco"	"[variant language]"	"Mixteco de Yucunicoco"
"miy"	"00000"	"mixteca"	"Mixteco"	"[variant language]"	"Mixteco de la Costa de Guerrero"
"miz"	"00000"	"mixteca"	"Mixteco"	"[variant language]"	"Mixteco de San Juan Coatzospan"
"mjc"	"00000"	"mixteca"	"Mixteco"	"[variant language]"	"Mixteco de San Juan Colorado"
"mks"	"04198"	"mixteca"	"Mixteco"	"[variant language]"	"Mixteco de Atenango"
"mks"	"06365"	"mixteca"	"Mixteco"	"[variant language]"	"Mixteco de San Antonio de las Mesas"
"mks"	"04182"	"mixteca"	"Mixteco"	"[variant language]"	"Mixteco de San Jorge Nuchita"
"mks"	"03973"	"mixteca"	"Mixteco"	"[variant language]"	"Mixteco de Silacayoapan"
"mks"	"04779"	"mixteca"	"Mixteco"	"[variant language]"	"Mixteco de Zahuatlan"
"mpm"	"04196"	"mixteca"	"Mixteco"	"[variant language]"	"Mixteco de Yolotepec"
"mpm"	"04026"	"mixteca"	"Mixteco"	"[variant language]"	"Mixteco de Yosondúa"
"mqh"	"04852"	"mixteca"	"Mixteco"	"[variant language]"	"Mixteco de Tlazoyaltepec"
"mtu"	"00000"	"mixteca"	"Mixteco"	"[variant language]"	"Mixteco de San Pedro Tututepec"
"mtx"	"00000"	"mixteca"	"Mixteco"	"[variant language]"	"Mixteco del Norte Central de Nochixtlán"
"mvg"	"02826"	"mixteca"	"Mixteco"	"[variant language]"	"Mixteco de Tetaltepec y El Alto"
"mvg"	"06408"	"mixteca"	"Mixteco"	"[variant language]"	"Mixteco de San Bartolomé Yucuañe"
"mxa"	"03974"	"mixteca"	"Mixteco"	"[variant language]"	"Mixteco del Noroeste de Oaxaca"
"mxb"	"21241"	"mixteca"	"Mixteco"	"[variant language]"	"Mixteco de San Martin del Rio"
"mxb"	"03970"	"mixteca"	"Mixteco"	"[variant language]"	"Mixteco de Tezoatlán de Segura y Luna"
"mxb"	"04778"	"mixteca"	"Mixteco"	"[variant language]"	"Mixteco de Yucuñuti"
"mxs"	"04799"	"mixteca"	"Mixteco"	"[variant language]"	"Mixteco de San Antonio Huitepec"
"mxt"	"03294"	"mixteca"	"Mixteco"	"[variant language]"	"Mixteco del Este de Jamiltepec-San Cristobal"
